drep_type	drep_hash	stake	vote	bucket	stored_active	stored_expiry	stored_last_interaction	recomputed_active	recomputed_expiry	fallback_expiry	fallback_active
0	dc43b9ac336b2408dc604441439228e4a00efcf4f50b8fd6fcc2866f	1081321137		EXCLUDED_INACTIVE	false	543		false	543	543	false
0	dcd2867318bc8a2e944189ba9cd7ed909c14b1cf4db26f844700b665	1075938330		EXCLUDED_INACTIVE	false	539		false	539	539	false
0	4341496e6be34776ebc60b92ed0711a71341dfc28f7c9101f57aa188	1048459180		NON_VOTER_NO	true	584		true	584	584	true
0	2558055add1a981f360a3e4ad3721596fd62f01f9cb14ee67aa6e9b5	1013361337		NON_VOTER_NO	true	583		true	583	583	true
0	88d8d2c1ef2d32c7dbb3f2f80e3cf6b4a7e71d5b1e7c0ac8b5e9cbe5	939198640		NON_VOTER_NO	true	576	552	true	576	576	true
0	1c8c9428b648da67ae1548ff6d965bcb2b6cc56abf96344dc0f46ffa	899278191		NON_VOTER_NO	true	592	572	true	592	592	true
0	b5668cae5a1cbee56a43edd2db7747c2e5d6097e9e4caeaf64dc093b	846035317		NON_VOTER_NO	true	577		true	577	577	true
0	942431896248c2cfb3854b96992802e5bf6b88726a30b7a248053b99	825431955		EXCLUDED_INACTIVE	false	543		false	543	543	false
0	dc224a4afb574019ce8005e1959f543cdc886bc980c839eab3bdc28c	821184085		EXCLUDED_INACTIVE	false	562		false	562	562	false
0	3471ad5f4ba08f487b528f7709c74d45272963a90ff0218f14a6e6e3	680149940		EXCLUDED_INACTIVE	false	540		false	540	540	false
0	edcb1d4270ab8151a820b217ca56ac18759e631b19613d603ffa5955	628687697		EXCLUDED_INACTIVE	false	527		false	527	527	false
0	556e40d8276745f311c2e22e0511f5e6c5aa9470ba6d771044c3cb12	627966712		EXCLUDED_INACTIVE	false	543		false	543	543	false
0	3de3b0200c5efaa6f4bc99ce906dc4ddc13d0bfa6311a8953f1854c8	597036034		EXCLUDED_INACTIVE	false	572		false	572	572	false
0	9fcdf77d9fed4831c693af199a5afd9a62753bc6f8bb24fd5b3921d9	591588259		EXCLUDED_INACTIVE	false	571		false	571	571	false
0	a02a3ffed39926a22fd66898d4578175f22641d881380e0ef1ef952b	556562492		EXCLUDED_INACTIVE	false	546		false	546	546	false
0	d5c1cff3f2e6107e53509746e695a2ad2be47dc000b5ed5b7c7dd2a9	543908782		EXCLUDED_INACTIVE	false	542		false	542	542	false
0	fa036560e5f2a003aa8de6d5f94961524aaab9677618784f4228b9ad	535854154		EXCLUDED_INACTIVE	false	558	537	false	558	558	false
0	7631a01ada71b4f2e7895250818ea816ba5416795cf7aefb3bd4d097	517037014		EXCLUDED_INACTIVE	false	542		false	542	542	false
1	7f1efdb90b481fc7bdb788038e9f6bdfa72ee02cc86845f646c40299	503195040		NON_VOTER_NO	true	582		true	582	582	true
0	bde3c2681c3607ec797dd8f8fccfa7156b4854dcda9880ee33e9d8dc	471282110		EXCLUDED_INACTIVE	false	559		false	559	559	false
0	5bc61eacf2c9e44021fe4e7a02c5401ac2b2170ad15d91977f710eed	444376115		EXCLUDED_INACTIVE	false	529		false	529	507	false
0	b5bdef23f4b1f8f29f419a526cc1f680da9059eb8b0d9d5aa0372045	440806285		EXCLUDED_INACTIVE	false	559	538	false	559	559	false
0	1efdb2d1dc780434a8ce96e2d8bccc9db94ff81454dfa3acab515edc	425051588		EXCLUDED_INACTIVE	false	529		false	529	529	false
0	2de9e7875f756c94d22a587334c0784630482a21dab0973ffb181714	423500506		NON_VOTER_NO	true	589	569	true	589	589	true
